,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Type,Crash_Longitude_GDA94,Crash_Latitude_GDA94,Loc_ABS_Statistical_Area_4,Loc_Federal_Electorate,Loc_ABS_Remoteness,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Crash_Speed_Limit,Crash_Date
39,2001,January,Tuesday,15,Multi-Vehicle,153.1285552,-27.47912893,Brisbane - East,Bonner,Major cities,0,0,1,0,1,60 km/h,200101
40,2001,January,Tuesday,12,Multi-Vehicle,153.02162859999999,-27.38444784,Brisbane - North,Petrie,Major cities,0,0,0,0,0,60 km/h,200101
41,2001,January,Tuesday,17,Multi-Vehicle,153.0166124,-27.35637584,Brisbane - North,Petrie,Major cities,0,0,0,1,1,70 km/h,200101
42,2001,January,Tuesday,10,Multi-Vehicle,152.9374971,-27.08318442,Moreton Bay - North,Longman,Major cities,0,0,0,0,0,60 km/h,200101
43,2001,January,Tuesday,16,Multi-Vehicle,152.9764505,-27.08680848,Moreton Bay - North,Longman,Major cities,0,0,0,0,0,70 km/h,200101
44,2001,January,Tuesday,21,Single Vehicle,153.1325784,-27.61632108,Logan - Beaudesert,Rankin,Major cities,0,0,0,0,0,60 km/h,200101
45,2001,January,Tuesday,17,Single Vehicle,153.1284017,-27.60852689,Logan - Beaudesert,Rankin,Major cities,0,0,0,0,0,60 km/h,200101
46,2001,January,Tuesday,23,Single Vehicle,153.14351430000002,-27.641982399999996,Logan - Beaudesert,Rankin,Major cities,0,0,1,0,1,60 km/h,200101
47,2001,January,Tuesday,13,Multi-Vehicle,153.10496569999998,-27.64169698,Logan - Beaudesert,Rankin,Major cities,0,1,0,1,2,60 km/h,200101
48,2001,January,Tuesday,16,Hit pedestrian,153.1051734,-27.6820227,Logan - Beaudesert,Rankin,Major cities,0,1,0,0,1,60 km/h,200101
49,2001,January,Tuesday,15,Multi-Vehicle,153.0381477,-27.69817377,Logan - Beaudesert,Rankin,Major cities,0,0,0,0,0,60 km/h,200101
50,2001,January,Tuesday,11,Single Vehicle,152.7514156,-27.61567758,Ipswich,Blair,Major cities,0,1,0,0,1,60 km/h,200101
51,2001,January,Tuesday,6,Multi-Vehicle,152.7605906,-27.61554071,Ipswich,Blair,Major cities,0,0,0,0,0,60 km/h,200101
52,2001,January,Tuesday,14,Multi-Vehicle,152.7648246,-27.61644033,Ipswich,Blair,Major cities,0,0,0,0,0,60 km/h,200101
53,2001,January,Tuesday,9,Multi-Vehicle,153.06270940000002,-27.4066309,Brisbane - North,Lilley,Major cities,0,0,1,0,1,60 km/h,200101
54,2001,January,Tuesday,7,Multi-Vehicle,153.0169735,-27.43604949,Brisbane Inner City,Brisbane,Major cities,0,1,2,0,3,60 km/h,200101
55,2001,January,Tuesday,11,Multi-Vehicle,153.0993453,-27.44271403,Brisbane - North,Lilley,Major cities,0,0,0,0,0,80 - 90 km/h,200101
56,2001,January,Tuesday,13,Multi-Vehicle,152.92550409999998,-27.40994299,Brisbane - West,Brisbane,Major cities,0,1,0,0,1,60 km/h,200101
57,2001,January,Tuesday,15,Multi-Vehicle,152.85634,-27.59940491,Ipswich,Blair,Major cities,0,0,1,1,2,100 - 110 km/h,200101
58,2001,January,Tuesday,10,Single Vehicle,153.4105611,-28.02684115,Gold Coast,Moncrieff,Major cities,0,0,0,0,0,70 km/h,200101
59,2001,January,Tuesday,20,Multi-Vehicle,153.1201106,-26.80318751,Sunshine Coast,Fisher,Major cities,0,0,0,0,0,60 km/h,200101
60,2001,January,Tuesday,15,Multi-Vehicle,153.5308337,-28.16825224,Gold Coast,Mcpherson,Major cities,0,0,0,0,0,60 km/h,200101
61,2001,January,Tuesday,16,Multi-Vehicle,153.08944440000002,-26.65021088,Sunshine Coast,Fairfax,Major cities,0,0,2,0,2,60 km/h,200101
62,2001,January,Tuesday,13,Multi-Vehicle,153.3396916,-27.99354199,Gold Coast,Moncrieff,Major cities,0,0,1,0,1,60 km/h,200101
63,2001,January,Tuesday,11,Multi-Vehicle,153.0244534,-26.43247938,Sunshine Coast,Wide Bay,Inner regional,0,0,0,0,0,100 - 110 km/h,200101
64,2001,January,Tuesday,11,Multi-Vehicle,153.12941809999998,-26.72394272,Sunshine Coast,Fisher,Major cities,0,0,0,2,2,70 km/h,200101
65,2001,January,Tuesday,12,Multi-Vehicle,152.6866316,-27.99269272,Ipswich,Blair,Inner regional,0,0,2,0,2,60 km/h,200101
66,2001,January,Tuesday,15,Single Vehicle,152.13624380000002,-26.8898148,Wide Bay,Maranoa,Outer regional,0,0,0,0,0,60 km/h,200101
67,2001,January,Tuesday,15,Single Vehicle,151.79942350000002,-26.84683693,Wide Bay,Maranoa,Outer regional,0,0,0,0,0,60 km/h,200101
68,2001,January,Tuesday,14,Single Vehicle,152.15792380000002,-27.37321245,Darling Downs - Maranoa,Maranoa,Inner regional,0,1,0,0,1,100 - 110 km/h,200101
69,2001,January,Tuesday,5,Single Vehicle,150.109336,-24.16113957,Fitzroy,Flynn,Outer regional,0,0,0,0,0,100 - 110 km/h,200101
70,2001,January,Tuesday,15,Single Vehicle,149.95162040000002,-22.83078672,Fitzroy,Capricornia,Remote,0,0,0,0,0,100 - 110 km/h,200101
71,2001,January,Tuesday,6,Single Vehicle,149.7297084,-22.733928,Fitzroy,Capricornia,Remote,0,0,1,0,1,100 - 110 km/h,200101
72,2001,January,Tuesday,12,Multi-Vehicle,149.18437849999998,-21.14280028,Mackay,Dawson,Inner regional,0,0,0,0,0,60 km/h,200101
73,2001,January,Tuesday,10,Multi-Vehicle,149.21390669999997,-21.07915368,Mackay,Dawson,Inner regional,0,0,1,0,1,60 km/h,200101
74,2001,January,Tuesday,12,Multi-Vehicle,146.2586453,-20.07196015,Townsville,Kennedy,Outer regional,0,0,0,0,0,60 km/h,200101
75,2001,January,Tuesday,14,Single Vehicle,145.7414794,-16.91309835,Cairns,Leichhardt,Outer regional,0,0,0,0,0,60 km/h,200101
76,2001,January,Tuesday,15,Single Vehicle,145.56641869999999,-16.65846309,Cairns,Leichhardt,Outer regional,0,0,0,0,0,80 - 90 km/h,200101
77,2001,January,Tuesday,18,Multi-Vehicle,152.94147949999999,-27.57795532,Ipswich,Oxley,Major cities,0,0,2,0,2,100 - 110 km/h,200101
78,2001,January,Wednesday,16,Multi-Vehicle,152.99068290000002,-27.44592679,Brisbane Inner City,Brisbane,Major cities,0,0,1,0,1,60 km/h,200101
79,2001,January,Wednesday,17,Multi-Vehicle,153.0578199,-27.50227215,Brisbane - South,Griffith,Major cities,0,1,0,0,1,0 - 50 km/h,200101
80,2001,January,Wednesday,14,Multi-Vehicle,153.0510736,-27.47101571,Brisbane Inner City,Brisbane,Major cities,0,0,0,0,0,0 - 50 km/h,200101
81,2001,January,Wednesday,17,Multi-Vehicle,153.1110888,-27.54650047,Brisbane - South,Bonner,Major cities,0,0,2,0,2,60 km/h,200101
82,2001,January,Wednesday,17,Multi-Vehicle,152.96336780000001,-27.50219687,Brisbane - West,Ryan,Major cities,0,1,5,0,6,60 km/h,200101
83,2001,January,Wednesday,10,Multi-Vehicle,153.01117539999998,-27.54286628,Brisbane - South,Moreton,Major cities,0,0,1,0,1,60 km/h,200101
84,2001,January,Wednesday,15,Multi-Vehicle,153.0812267,-27.55995443,Brisbane - South,Bonner,Major cities,0,0,0,1,1,60 km/h,200101
85,2001,January,Wednesday,7,Single Vehicle,153.013541,-27.48739179,Brisbane Inner City,Griffith,Major cities,0,1,0,0,1,0 - 50 km/h,200101
86,2001,January,Wednesday,7,Multi-Vehicle,153.1406579,-27.47590666,Brisbane - East,Bonner,Major cities,0,0,0,1,1,70 km/h,200101
87,2001,January,Wednesday,18,Hit pedestrian,153.19998169999997,-27.71752398,Logan - Beaudesert,Forde,Major cities,0,0,1,0,1,60 km/h,200101
89,2001,January,Wednesday,20,Multi-Vehicle,153.2513857,-27.523888800000005,Brisbane - East,Bowman,Major cities,0,0,0,0,0,70 km/h,200101
90,2001,January,Wednesday,11,Multi-Vehicle,153.084294,-27.22600385,Moreton Bay - North,Petrie,Major cities,0,0,0,0,0,60 km/h,200101
91,2001,January,Wednesday,12,Multi-Vehicle,153.1137566,-27.659751899999996,Logan - Beaudesert,Rankin,Major cities,0,1,0,0,1,60 km/h,200101
92,2001,January,Wednesday,0,Single Vehicle,152.9601791,-27.16184283,Moreton Bay - North,Longman,Major cities,0,0,0,0,0,60 km/h,200101
93,2001,January,Wednesday,15,Single Vehicle,152.75985780000002,-27.61828868,Ipswich,Blair,Major cities,0,0,2,0,2,60 km/h,200101
94,2001,January,Wednesday,20,Hit pedestrian,152.7625831,-27.62467507,Ipswich,Blair,Major cities,0,0,1,0,1,60 km/h,200101
95,2001,January,Wednesday,11,Multi-Vehicle,152.7811626,-27.61333618,Ipswich,Blair,Major cities,0,0,1,0,1,60 km/h,200101
